Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_STAT_STALL,CPC_UTCL1_STALL_ON_TRANSLATION,CPF_CPF_STAT_IDLE,CPF_CPF_TCIU_IDLE,SPI_RA_REQ_NO_ALLOC,SPI_RA_REQ_NO_ALLOC_CSN,SQ_ACCUM_PREV_HIRES,SQ_INSTS_SMEM,SQ_INSTS_VALU_ADD_F32,SQ_INSTS_VALU_FMA_F16,SQ_INSTS_VALU_FMA_F32,SQ_INSTS_VALU_MUL_F32,SQ_INSTS_VALU_TRANS_F16,SQ_INST_LEVEL_SMEM,TA_BUFFER_ATOMIC_WAVEFRONTS_sum,TA_BUFFER_TOTAL_CYCLES_sum,TCP_TOTAL_ACCESSES_sum,TCP_TOTAL_READ_sum,TCP_TOTAL_WRITE_sum,TCP_VOLATILE_sum,TD_ATOMIC_WAVEFRONT_sum,TD_STORE_WAVEFRONT_sum
0,7,10,207463,207987,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309176420874668,2309176420890748,1,10,40087.0,2323.0,0.0,134556.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,29094.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
1,4,8,207463,207990,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309176512731570,2309176512747650,2,20,39914.0,2338.0,0.0,134970.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,29932.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
2,6,14,207463,207986,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309176665636921,2309176665651601,3,30,65432.0,2287.0,0.0,126919.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,27978.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
3,3,12,207463,207988,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309176730366350,2309176730382270,4,40,37239.0,2465.0,0.0,133437.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,30038.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
4,1,15,207463,207991,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309176839922795,2309176839938715,5,50,38950.0,2369.0,0.0,137047.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,29568.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
5,0,13,207463,207985,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309176949126004,2309176949141044,6,60,36704.0,2164.0,0.0,126212.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28806.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
6,5,7,207463,207992,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309177058065001,2309177058081081,7,70,40055.0,2433.0,0.0,135886.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,29648.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
7,2,11,207463,207989,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309177165949539,2309177165965379,8,80,37594.0,2458.0,0.0,134083.0,24.0,344.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,29558.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
8,0,13,207463,207463,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2309177442868428,2309177442883268,9,60,37657.0,4871.0,0.0,129820.0,24.0,0.0,0.0,26240.0,0.0,0.0,0.0,0.0,0.0,28724.0,0.0,0.0,1638400.0,0.0,1638400.0,1638400.0,0.0,25600.0
9,0,16,207463,207463,512,256,0,0,4,0,16,64,wrapped_iota,2309178280227695,2309178280230495,10,81,25602.0,348.0,0.0,54856.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,128.0,0.0,128.0,128.0,0.0,8.0
10,0,17,207463,208241,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309178297265245,2309178297267085,11,56,37084.0,6987.0,0.0,67236.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0,256.0,128.0,128.0,256.0,0.0,2.0
11,0,16,207463,207463,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309178298776643,2309178298779843,12,56,28028.0,1528.0,0.0,58921.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,144.0,0.0,0.0,256.0,128.0,128.0,256.0,0.0,2.0
12,0,16,207463,207463,8192,256,0,0,8,0,16,64,add_vectors_kernel__1,2309178338459043,2309178338462123,13,82,25607.0,400.0,0.0,62731.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,3356.0,0.0,0.0,24576.0,16384.0,8192.0,24576.0,0.0,128.0
13,0,16,207463,207463,512,256,0,0,8,0,16,64,wrapped_add,2309178354976269,2309178354979029,14,83,25725.0,400.0,0.0,59702.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,248.0,0.0,0.0,384.0,256.0,128.0,384.0,0.0,8.0
14,0,18,207463,208241,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309178747256894,2309178747260014,15,56,25521.0,4867.0,0.0,63897.0,0.0,8.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,256.0,128.0,128.0,256.0,0.0,2.0
15,0,13,207463,208240,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2309178749307073,2309178749310313,16,56,24395.0,2188.0,0.0,55333.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,256.0,128.0,128.0,256.0,0.0,2.0
