Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID,Kernel_ID,CPC_CPC_UTCL2IU_BUSY,CPC_CPC_UTCL2IU_IDLE,CPF_CMP_UTCL1_STALL_ON_TRANSLATION,SPI_RA_RES_STALL_CSN,SPI_RA_TMP_STALL_CSN,SQ_ACCUM_PREV_HIRES,SQ_INSTS_LDS,SQ_INSTS_VALU_ADD_F64,SQ_INSTS_VALU_FMA_F64,SQ_INSTS_VALU_MUL_F64,SQ_INSTS_VALU_TRANS_F32,SQ_INSTS_VALU_TRANS_F64,SQ_INST_LEVEL_LDS,TA_BUFFER_COALESCED_READ_CYCLES_sum,TA_BUFFER_COALESCED_WRITE_CYCLES_sum,TCP_TOTAL_ATOMIC_WITHOUT_RET_sum,TCP_TOTAL_ATOMIC_WITH_RET_sum,TCP_TOTAL_CACHE_ACCESSES_sum,TCP_TOTAL_WRITEBACK_INVALIDATES_sum,TD_COALESCABLE_WAVEFRONT_sum
0,5,8,218530,219055,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311835996316852,2311835996332572,1,10,2551.0,139547.0,3528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
1,4,11,218530,219057,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311836086821632,2311836086837792,2,20,2599.0,140581.0,3599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
2,7,14,218530,219053,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311836195460185,2311836195476305,3,30,4049.0,141507.0,3487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
3,1,12,218530,219058,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311836303825471,2311836303841391,4,40,3684.0,141211.0,3614.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
4,6,10,218530,219056,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311836449611413,2311836449626253,5,50,3306.0,130937.0,3133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
5,2,13,218530,219052,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311836556806631,2311836556822751,6,60,3991.0,143161.0,3496.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
6,0,7,218530,219059,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311836665856510,2311836665871390,7,70,2350.0,131879.0,3175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
7,3,15,218530,219054,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311836774238772,2311836774254772,8,80,2311.0,138329.0,3593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
8,0,7,218530,218530,20480,256,0,0,12,0,48,64,__amd_rocclr_fillBufferAligned,2311837055862158,2311837055877358,9,70,5312.0,133729.0,3167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,409600.0,80.0,0.0
9,0,17,218530,219308,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311838137617263,2311838137622903,10,66,5054.0,82114.0,3088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0
10,0,16,218530,218530,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311838161978721,2311838161982361,11,66,5186.0,69558.0,3182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0
11,0,16,218530,218530,131072,256,0,0,8,0,16,64,wrapped_broadcast,2311838188556681,2311838188560601,12,81,340.0,65844.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32768.0,80.0,0.0
12,0,16,218530,218530,262144,256,0,0,12,0,32,64,softmax_kernel__1,2311838235044585,2311838235051025,13,82,340.0,81861.0,304.0,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,16384.0,0.0,17860.0,0.0,0.0,0.0,0.0,131072.0,80.0,0.0
13,0,17,218530,219308,512,512,0,0,16,0,32,64,__amd_rocclr_copyBuffer,2311838261172179,2311838261177459,14,66,2300.0,108590.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,8.0
14,0,16,218530,218530,65536,256,0,0,20,0,16,64,input_reduce_fusion,2311838261600902,2311838261604822,15,84,340.0,65394.0,307.0,0.0,0.0,0.0,6144.0,0.0,0.0,0.0,0.0,0.0,3832.0,0.0,0.0,0.0,0.0,66560.0,80.0,1024.0
15,0,16,218530,218530,1024,256,0,0,8,0,16,64,loop_maximum_fusion,2311838261805103,2311838261807663,16,83,0.0,62512.0,3047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,4.0,32.0
16,0,16,218530,218530,131072,256,0,0,8,0,16,64,loop_subtract_fusion,2311838281174233,2311838281178233,17,85,425.0,66888.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73728.0,80.0,2048.0
17,0,16,218530,218530,131072,256,0,0,20,0,16,64,wrapped_exponential,2311838298629613,2311838298634093,18,86,340.0,73102.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,0.0,0.0,65536.0,80.0,0.0
18,0,16,218530,218530,65536,256,0,0,16,0,16,64,input_reduce_fusion,2311838320770687,2311838320774327,19,87,340.0,64985.0,304.0,0.0,0.0,0.0,6144.0,0.0,0.0,0.0,0.0,0.0,3756.0,0.0,0.0,0.0,0.0,66560.0,80.0,1024.0
19,0,16,218530,218530,131072,256,0,0,28,0,32,64,loop_divide_fusion,2311838339298803,2311838339303203,20,88,340.0,69861.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,0.0,0.0,73728.0,80.0,2048.0
